name,given_name,surname,pseudonym,country,sex,victims_proven,victims_suspected,years_active,active_from,active_to,country_lat,country_long
Gary Leon Ridgway,Gary,Leon Ridgway,Green River Killer,United States,male,49.0,71,1982–1998,1982.0,1998.0,37.09024,-95.712891
Gary Michael Heidnik,Gary,Michael Heidnik,Brother Bishop,United States,male,2.0,,1986–1987,1986.0,1987.0,37.09024,-95.712891
Gary Michael Hilton,Gary,Michael Hilton,,United States,male,2.0,5,2008,2008.0,2008.0,37.09024,-95.712891
Gary Ray Bowles,Gary,Ray Bowles,,United States,male,5.0,6,1994,1994.0,1994.0,37.09024,-95.712891
Genaro Ruiz Camacho Jr.,Genaro,Ruiz Camacho Jr.,Geno Camacho,United States,male,3.0,6+,1988,1988.0,1988.0,37.09024,-95.712891
Genene Anne Jones,Genene,Anne Jones,,United States,female,11.0,11+,1977–1982,1977.0,1982.0,37.09024,-95.712891
Gennady Mikhasevich,Gennady,Mikhasevich,Würger von Witebsk,Sowjet Union,male,33.0,,?–1985,,1985.0,,
George Chapman,George,Chapman,,United Kingdom,male,3.0,,1897–1902,1897.0,1902.0,55.378051,-3.435973
George Joseph Smith,George,Joseph Smith,Mörder der Bräute im Bad,United Kingdom,male,3.0,,1913–1914,1913.0,1914.0,55.378051,-3.435973
Gerald Eugene Stano,Gerald,Eugene Stano,,United States,male,9.0,41,1974–1980,1974.0,1980.0,37.09024,-95.712891
Gerald Parker,Gerald,Parker,The Bedroom Basher,United States,male,5.0,,1970s ,,,37.09024,-95.712891
Gertraud Arzberger,Gertraud,Arzberger,,Austria,female,4.0,5,?–2006,,2006.0,47.516231,14.550072
Gesche Margarethe Gottfried,Gesche,Margarethe Gottfried,Engel von Bremen,Germany,female,15.0,,1813–1827,1813.0,1827.0,51.165691,10.451526
Giancarlo Giudice,Giancarlo,Giudice,Monster von Turin,Italy,male,9.0,,1983–1986,1983.0,1986.0,41.87194,12.56738
Gilberto Antonio Chamba,Gilberto,Antonio Chamba,The Monster of Machala,Ecuador,male,9.0,,1988–2004,1988.0,2004.0,-1.831239,-78.18340599999999
Gilles de Rais,Gilles,de Rais,Blaubart,France,male,80.0,200,1435–1440,1435.0,1440.0,46.227638,2.213749
Gilles Garnier,Gilles,Garnier,"The Hermit of St. Bonnot, The Werewolf of Dole",France,male,4.0,,1572,1572.0,1572.0,46.227638,2.213749
Gordon Frederick Cummins,Gordon,Frederick Cummins,Blackout Ripper,United Kingdom,male,4.0,,1942,1942.0,1942.0,55.378051,-3.435973
Graham Frederick Young,Graham,Frederick Young,The Teacup Poisoner,United Kingdom,male,3.0,,1962–1971,1962.0,1971.0,55.378051,-3.435973
Gregg Francis Braun,Gregg,Francis Braun,,United States,male,5.0,,1989,1989.0,1989.0,37.09024,-95.712891
Gregorio Cardenas Hernandez,Gregorio,Cardenas Hernandez,"The Tacuba Strangler, El Goyo Cárdenas",Mexico,male,4.0,,1942,1942.0,1942.0,23.634501,-102.552784
Gregory Allen Bowen,Gregory,Allen Bowen,,United States,male,3.0,,1985–2001,1985.0,2001.0,37.09024,-95.712891
Gregory Clepper,Gregory,Clepper,,United States,male,8.0,48,1991–1996,1991.0,1996.0,37.09024,-95.712891
Gregory John Brazel,Gregory,John Brazel,,Australia,male,3.0,,1982–1990,1982.0,1990.0,-25.274398,133.775136
Günter Lorenz,Günter,Lorenz,,Austria,male,3.0,,1983,1983.0,1983.0,47.516231,14.550072
Guy Georges,Guy,Georges,The Beast of Bastille,France,male,7.0,10,1991–1997,1991.0,1997.0,46.227638,2.213749
Gwendolyn Gail Graham,Gwendolyn,Gail Graham,,United States,female,5.0,,1987,1987.0,1987.0,37.09024,-95.712891
Hadden Irving Clark,Hadden,Irving Clark,,United States,male,2.0,2+,1986–1992,1986.0,1992.0,37.09024,-95.712891
Hadj Mohammed Mesfewi,Hadj,Mohammed Mesfewi,Arch Murderer of Marakesch,Morocco,male,36.0,,?–1906,,1906.0,31.791702,-7.092619999999999
Hans Jürgen Schröder,Hans,Jürgen Schröder,,Germany,male,5.0,,1969–1984,1969.0,1984.0,51.165691,10.451526
Hans Vollenweider,Hans,Vollenweider,,Switzerland,male,3.0,,1939,1939.0,1939.0,46.818188,8.227511999999999
Harald Sassak,Harald,Sassak,Gaskassier,Austria,male,7.0,,1971–1972,1971.0,1972.0,47.516231,14.550072
Harold Frederick Shipman,Harold,Frederick Shipman,Dr. Tod,United Kingdom,male,218.0,250-459,1970–1998,1970.0,1998.0,55.378051,-3.435973
Harvey Louis Carignan,Harvey,Louis Carignan,"Harv the Hammer, The Want-Ad Killer",United States,male,5.0,5+,1949–1974,1949.0,1974.0,37.09024,-95.712891
Harvey Miguel Robinson,Harvey,Miguel Robinson,,United States,male,3.0,,1992–1993,1992.0,1993.0,37.09024,-95.712891
Harvey Murray Glatman,Harvey,Murray Glatman,The Lonely-Hearts Killer,United States,male,3.0,,1957–1958,1957.0,1958.0,37.09024,-95.712891
Heinrich Pommerenke,Heinrich,Pommerenke,Ungeheuer vom Schwarzwald,Germany,male,4.0,,1959,1959.0,1959.0,51.165691,10.451526
Hélène Jégado,Hélène,Jégado,,France,female,3.0,36,1833–1851,1833.0,1851.0,46.227638,2.213749
Henri Désiré Landru,Henri,Désiré Landru,Blaubart von Paris,France,male,11.0,,1914–1918,1914.0,1918.0,46.227638,2.213749
Henry Bribson Jr.,Henry,Bribson Jr.,,United States,male,3.0,,1973–1978,1973.0,1978.0,37.09024,-95.712891
Henry Louis Wallace,Henry,Louis Wallace,,United States,male,10.0,,1992–1994,1992.0,1994.0,37.09024,-95.712891
Henry Newton Brown,Henry,Newton Brown,,United States,male,5.0,,1960–1987,1960.0,1987.0,37.09024,-95.712891
Herbert James Coddington,Herbert,James Coddington,,United States,male,3.0,,1981–1987,1981.0,1987.0,37.09024,-95.712891
Herbert Richard Baumeister,Herbert,Richard Baumeister,,United States,male,7.0,17,1980–1996,1980.0,1996.0,37.09024,-95.712891
Herbert Williams Mullin,Herbert,Williams Mullin,,United States,male,13.0,,1972–1973,1972.0,1973.0,37.09024,-95.712891
Heriberto Seda,Heriberto,Seda,The New York Zodiac Killer,United States,male,3.0,,1990–1994,1990.0,1994.0,37.09024,-95.712891
Herman Drenth,Herman,Drenth,Harry Powers,United States,male,5.0,55,1929–1932,1929.0,1932.0,37.09024,-95.712891
Hermann Webster Mudgett,Hermann,Webster Mudgett,H. H. Holmes,United States,male,9.0,27-200,1888–1894,1888.0,1894.0,37.09024,-95.712891
Hiroshi Maeue,Hiroshi,Maeue,Suicide Website Murderer,Japan,male,3.0,,2005,2005.0,2005.0,36.204824,138.252924
Horst David,Horst,David,Würger von Regensburg,Germany,male,7.0,,1975–1994,1975.0,1994.0,51.165691,10.451526
Howard Arthur Allen,Howard,Arthur Allen,,United States,male,3.0,14,1974–1987,1974.0,1987.0,37.09024,-95.712891
Howard Milton Belcher,Howard,Milton Belcher,,United States,male,3.0,,2002,2002.0,2002.0,37.09024,-95.712891
Hu Wanlin,Hu,Wanlin,,China,male,146.0,,1997–1999,1997.0,1999.0,35.86166,104.195397
Hubert Pilčík,Hubert,Pilčík,,Czechoslovakia,male,5.0,10,1948–1951,1948.0,1951.0,14.4803708,121.0390178
Hugo Schenk,Hugo,Schenk,,Austria,male,4.0,,1883,1883.0,1883.0,47.516231,14.550072
Ion Rîmaru,Ion,Rîmaru,The Vampire of Bucharest,Romania,male,3.0,4,1970–1971,1970.0,1971.0,45.943161,24.96676
Irene Becker,Irene,Becker,"Schwester Tod, Todesengel von Charité",Germany,female,5.0,6,2005–2006,2005.0,2006.0,51.165691,10.451526
Irina Viktorovna Gaidamachuk,Irina,Viktorovna Gaidamachuk,Satan in a Skirt,Russia,female,17.0,,2002–2010,2002.0,2010.0,61.52401,105.318756
Ivan Robert Marko Milat,Ivan,Robert Marko Milat,The Backpacker Murderer,Australia,male,7.0,,1989–1994,1989.0,1994.0,-25.274398,133.775136
Jack Barron,Jack,Barron,,United States,male,3.0,4,1992–1995,1992.0,1995.0,37.09024,-95.712891
Jacques Plumain,Jacques,Plumain,Kehler Phantom,France,male,3.0,,1999–2000,1999.0,2000.0,46.227638,2.213749
Jake Bird,Jake,Bird,The Tacoma Ax-Killer,United States,male,11.0,44,1930s–1944,,1944.0,37.09024,-95.712891
James Clifford Carson,James,Clifford Carson,,United States,male,3.0,,1981–1983,1981.0,1983.0,37.09024,-95.712891
James Dwight Canaday,James,Dwight Canaday,,United States,male,3.0,,1968–1969,1968.0,1969.0,37.09024,-95.712891
Jane Toppan,Jane,Toppan,Nora Kelley,United States,female,31.0,70,1880–1901,1880.0,1901.0,37.09024,-95.712891
Jarvis Catoe,Jarvis,Catoe,,United States,male,13.0,,1940–1941,1940.0,1941.0,37.09024,-95.712891
Javed Iqbal,Javed,Iqbal,,Pakistan,male,100.0,,?–1998,,1998.0,30.375321,69.34511599999999
Jean-Baptiste Troppmann,Jean-Baptiste,Troppmann,,France,male,8.0,,1869,1869.0,1869.0,46.227638,2.213749
Jeanne Weber,Jeanne,Weber,Menschenfresserin aus der Goutte d′Or,France,female,10.0,,1902–1906,1902.0,1906.0,46.227638,2.213749
Jeffrey Lionel Dahmer,Jeffrey,Lionel Dahmer,"The Milwaukee Monster, Cannibal of Milwaukee",United States,male,17.0,,1978–1991,1978.0,1991.0,37.09024,-95.712891
Jerome Brudos,Jerome,Brudos,"Lust Killer, Fetish Slayer",United States,male,3.0,4,1968–1969,1968.0,1969.0,37.09024,-95.712891
Joachim Georg Kroll,Joachim,Georg Kroll,Menschenfresser von Duisburg,Germany,male,8.0,14,1955–1976,1955.0,1976.0,51.165691,10.451526
Joe Ball,Joe,Ball,Alligator Man,United States,male,5.0,20,1936–1938,1936.0,1938.0,37.09024,-95.712891
Joel David Rifkin,Joel,David Rifkin,Joel the Ripper,United States,male,9.0,17+,1989–1993,1989.0,1993.0,37.09024,-95.712891
Johann Trnka,Johann,Trnka,,Austria,male,2.0,,1946,1946.0,1946.0,47.516231,14.550072
Johann Unterweger,Johann,Unterweger,"Jack Unterweger, Knastpoet",Austria,male,10.0,13,1974–1992,1974.0,1992.0,47.516231,14.550072
Johannes Mashiane,Johannes,Mashiane,The Beast of Atteridgeville,South Africa,male,12.0,13,?–1989,,1989.0,-30.559482,22.937506
John Brooks,John,Brooks,,United States,male,6.0,9,1986,1986.0,1986.0,37.09024,-95.712891
John Casablanca,John,Casablanca,,United States,male,5.0,,1961–1981,1961.0,1981.0,37.09024,-95.712891
John Christie,John,Christie,"Frauenwürger von London, Massenmörder von Notting Hill",United Kingdom,male,6.0,8,1943–1953,1943.0,1953.0,55.378051,-3.435973
John Duffy,John,Duffy,The Railway Killer,United Kingdom,male,3.0,,1982–1986,1982.0,1986.0,55.378051,-3.435973
John Edward Robinson,John,Edward Robinson,Slave Master,United States,male,8.0,,1984–1999,1984.0,1999.0,37.09024,-95.712891
John Emil List,John,Emil List,Bogeyman von Westfield,United States,male,5.0,,1971,1971.0,1971.0,37.09024,-95.712891
John Eric Armstrong,John,Eric Armstrong,"Baby doll, Opie",United States,male,5.0,18,1992–1999,1992.0,1999.0,37.09024,-95.712891
John George Haigh,John,George Haigh,"Säurebadmörder, Vampir von London",United Kingdom,male,6.0,,1944–1949,1944.0,1949.0,55.378051,-3.435973
John Joubert,John,Joubert,Nebraska Serial Killer,United States,male,3.0,,1982–1983,1982.0,1983.0,37.09024,-95.712891
John Martin Crawford,John,Martin Crawford,,Canada,male,4.0,,1981–1992,1981.0,1992.0,56.130366,-106.346771
John Martin Scripps,John,Martin Scripps,The Tourist From Hell,United Kingdom,male,3.0,6,1995,1995.0,1995.0,55.378051,-3.435973
John Norman Collins,John,Norman Collins,"The Coed Killer, Michigan Murderer, The Ypsilanti Killer, John Chapman",United States,male,8.0,,1967–1969,1967.0,1969.0,37.09024,-95.712891
John Paul Knowles,John,Paul Knowles,The Casanova Killer,United States,male,18.0,35,1974,1974.0,1974.0,37.09024,-95.712891
John Thomas Straffen,John,Thomas Straffen,,United Kingdom,male,3.0,,1951–1952,1951.0,1952.0,55.378051,-3.435973
John Wayne Gacy,John,Wayne Gacy,"Killer-Clown, Pogo the Clown",United States,male,33.0,,1972–1978,1972.0,1978.0,37.09024,-95.712891
John Wayne Glover,John,Wayne Glover,"The Granny Killer, North Shore Granny Killer",Australia,male,6.0,,1989–1990,1989.0,1990.0,-25.274398,133.775136
John William Cooper,John,William Cooper,The Bullseye Killer,United Kingdom,male,4.0,,1985–1989,1985.0,1989.0,55.378051,-3.435973
José Antonio Rodríguez Vega,José,Antonio Rodríguez Vega,,Spain,male,16.0,,1987–1988,1987.0,1988.0,40.46366700000001,-3.74922
José Luis Calva Zepeda,José,Luis Calva Zepeda,The Cannibal,Mexico,male,3.0,3+,2004–2007,2004.0,2007.0,23.634501,-102.552784
Jose Maria Miculax Bux,Jose,Maria Miculax Bux,El Deschichador,Guatemala,male,15.0,,1946,1946.0,1946.0,15.783471,-90.23075899999999
Joseph Baldi,Joseph,Baldi,,United States,male,4.0,,1970–1972,1970.0,1972.0,37.09024,-95.712891
Joseph Briggen,Joseph,Briggen,,United States,male,12.0,12+,1880–1902,1880.0,1902.0,37.09024,-95.712891
Joseph Christopher,Joseph,Christopher,.22-caliber Killer,United States,male,13.0,,1980,1980.0,1980.0,37.09024,-95.712891
Joseph Dewey Akin,Joseph,Dewey Akin,,United States,male,18.0,18+,1990–1991,1990.0,1991.0,37.09024,-95.712891
Joseph Ernest Atkins,Joseph,Ernest Atkins,,United States,male,3.0,,1969–1985,1969.0,1985.0,37.09024,-95.712891
Joseph Francis Bryan Jr.,Joseph,Francis Bryan Jr.,,United States,male,3.0,,1964,1964.0,1964.0,37.09024,-95.712891
Joseph Kallinger,Joseph,Kallinger,The Shoemaker,United States,male,3.0,,1974–1975,1974.0,1975.0,37.09024,-95.712891
Joseph Naso,Joseph,Naso,Double Initial Killer,United States,male,4.0,,1970s–?,,,37.09024,-95.712891
Joseph Paul Franklin,Joseph,Paul Franklin,,United States,male,20.0,,1977–1980,1977.0,1980.0,37.09024,-95.712891
Joseph Vacher,Joseph,Vacher,Der französische Ripper,France,male,11.0,15,1894–1897,1894.0,1897.0,46.227638,2.213749
Joshua Wayne Andrews,Joshua,Wayne Andrews,,United States,male,3.0,5,2000–2002,2000.0,2002.0,37.09024,-95.712891
Juan Carlos Alvarez,Juan,Carlos Alvarez,,United States,male,5.0,,1998,1998.0,1998.0,37.09024,-95.712891
Juan Martin Cantu,Juan,Martin Cantu,Medrano,United States,male,26.0,,1974–1991,1974.0,1991.0,37.09024,-95.712891
Juan Rodriguez Chavez,Juan,Rodriguez Chavez,,United States,male,12.0,,1985–1995,1985.0,1995.0,37.09024,-95.712891
Juan Vallejo Corona,Juan,Vallejo Corona,,United States,male,25.0,,1971,1971.0,1971.0,37.09024,-95.712891
Judias Anna Buenoano,Judias,Anna Buenoano,,United States,female,3.0,,1971–1980,1971.0,1980.0,37.09024,-95.712891
Jürgen Bartsch,Jürgen,Bartsch,Kirmesmörder,Germany,male,4.0,,1962–1966,1962.0,1966.0,51.165691,10.451526
Jürgen Hein,Jürgen,Hein,,Germany,male,3.0,,1967–1985,1967.0,1985.0,51.165691,10.451526
Kanae Kijima,Kanae,Kijima,The Konkatsu Killer,Japan,female,3.0,,2009,2009.0,2009.0,36.204824,138.252924
Karl Denke,Karl,Denke,Papa Denke,Germany,male,31.0,,1903–1924,1903.0,1924.0,51.165691,10.451526
Karl Hopf,Karl,Hopf,,Germany,male,4.0,,1902–1913,1902.0,1913.0,51.165691,10.451526
Kaspars Petrovs,Kaspars,Petrovs,Würger von Riga,Latvia,male,13.0,20,2002–2003,2002.0,2003.0,56.879635,24.603189
Kathleen Anne Atkinson,Kathleen,Anne Atkinson,,United Kingdom,female,4.0,,1991–1995,1991.0,1995.0,55.378051,-3.435973
Kathleen Megan Folbigg,Kathleen,Megan Folbigg,,Australia,female,4.0,,1989–1999,1989.0,1999.0,-25.274398,133.775136
Keith Bernard Clay,Keith,Bernard Clay,,United States,male,4.0,,1993–1994,1993.0,1994.0,37.09024,-95.712891
Keith Hunter Jesperson,Keith,Hunter Jesperson,The Happy Face Killer,United States,male,8.0,160,1990–1995,1990.0,1995.0,37.09024,-95.712891
Kendall Francois,Kendall,Francois,,United States,male,8.0,10,1996–1998,1996.0,1998.0,37.09024,-95.712891
Kenneth Allen McDuff,Kenneth,Allen McDuff,"The Broomstick Murderer, The Broomstick Killer",United States,male,14.0,,1966–1992,1966.0,1992.0,37.09024,-95.712891
Kenneth Erskine,Kenneth,Erskine,Stockwell Strangler,United Kingdom,male,7.0,11,1986,1986.0,1986.0,55.378051,-3.435973
Kimberly Clark Saenz,Kimberly,Clark Saenz,,United States,female,5.0,,2008,2008.0,2008.0,37.09024,-95.712891
Klaus G.,Klaus,G.,Mittagsmörder,Germany,male,5.0,7,1960–1965,1960.0,1965.0,51.165691,10.451526
Kodaira Yoshio,Kodaira,Yoshio,,Japan,male,12.0,,1932; 1945–1946,,1946.0,36.204824,138.252924
Kristen Gilbert,Kristen,Gilbert,The Angel of Death,United States,female,4.0,,?–1996,,1996.0,37.09024,-95.712891
Kurt-Friedhelm Steinwegs,Kurt-Friedhelm,Steinwegs,Monster vom Niederrhein,Germany,male,6.0,,1974–1983,1974.0,1983.0,51.165691,10.451526
Larry D. Bright,Larry,D. Bright,,United States,male,8.0,,2003–2004,2003.0,2004.0,37.09024,-95.712891
Larry Eyler,Larry,Eyler,"The Interstate Killer, The Highway Killer",United States,male,23.0,,1983–1984,1983.0,1984.0,37.09024,-95.712891
Larry Gene Bell,Larry,Gene Bell,,United States,male,2.0,3,1985,1985.0,1985.0,37.09024,-95.712891
Le Thanh Van,Le,Thanh Van,,Vietnam,female,13.0,,1998–2001,1998.0,2001.0,14.058324,108.277199
Lemuel Warren Smith,Lemuel,Warren Smith,,United States,male,6.0,7,1976–1981,1976.0,1981.0,37.09024,-95.712891
Leo Lancing Boatman,Leo,Lancing Boatman,,United States,male,3.0,,2006–2010,2006.0,2010.0,37.09024,-95.712891
Leonard John Fraser,Leonard,John Fraser,The Rockhampton Rapist,Australia,male,4.0,7,1998–1999,1998.0,1999.0,-25.274398,133.775136
Leonarda Cianciulli,Leonarda,Cianciulli,Soap-Maker of Correggio,Italy,female,3.0,,1939–1940,1939.0,1940.0,41.87194,12.56738
Léopold Dion,Léopold,Dion,Monster of Pont-Rouge,Canada,male,4.0,,1963,1963.0,1963.0,56.130366,-106.346771
Leslie Patrick Bailey,Leslie,Patrick Bailey,Catweazle,United Kingdom,male,4.0,25,1984–1985,1984.0,1985.0,55.378051,-3.435973
Leszek Pękalski,Leszek,Pękalski,Vampire of Bytów,Poland,male,1.0,80,1984–1992,1984.0,1992.0,51.919438,19.145136
Levi Bellfield,Levi,Bellfield,"The Bus Stop Stalker, The Bus Stop Killer",United Kingdom,male,3.0,,2001–2004,2001.0,2004.0,55.378051,-3.435973
Lonnie David Franklin,Lonnie,David Franklin,The Grim Sleeper,United States,male,10.0,10+,1985–2007,1985.0,2007.0,37.09024,-95.712891
Lorenzo Jerome Gilyard,Lorenzo,Jerome Gilyard,,United States,male,6.0,13,1977–1993,1977.0,1993.0,37.09024,-95.712891
Louay Omar Mohammed al-Taei,Louay,Omar Mohammed al-Taei,,Iraq,male,43.0,,2005–2006,2005.0,2006.0,33.223191,43.679291
Louise Peete,Louise,Peete,,United States,female,3.0,,1912–1944,1912.0,1944.0,37.09024,-95.712891
Louise Vermilyea,Louise,Vermilyea,,United States,female,9.0,,1893–1911,1893.0,1911.0,37.09024,-95.712891
Lowell Edwin Amos,Lowell,Edwin Amos,,United States,male,4.0,,1979–1994,1979.0,1994.0,37.09024,-95.712891
Łucjan Staniak,Łucjan,Staniak,The Red Spider,Poland,male,6.0,,1964–1967,1964.0,1967.0,51.919438,19.145136
Ludwig Tessnow,Ludwig,Tessnow,,Germany,male,4.0,,1898–1901,1898.0,1901.0,51.165691,10.451526
Luis Alfredo Garavito,Luis,Alfredo Garavito,"El Loco, La Bestia",Colombia,male,138.0,172,1992–1999,1992.0,1999.0,4.570868,-74.297333
Lutz Reinstrom,Lutz,Reinstrom,Säurefassmörder,Germany,male,2.0,,1986–1991,1986.0,1991.0,51.165691,10.451526
Lyda Catherine Ambrose,Lyda,Catherine Ambrose,,United States,female,5.0,,1917–1920,1917.0,1920.0,37.09024,-95.712891
Mack Ray Edwards,Mack,Ray Edwards,,United States,male,6.0,,1953–1970,1953.0,1970.0,37.09024,-95.712891
Magdalena Solis,Magdalena,Solis,The High Priestess of Blood,Mexico,female,2.0,8+,1963,1963.0,1963.0,23.634501,-102.552784
Malcolm Joseph Thomas Clarke,Malcolm,Joseph Thomas Clarke,,Australia,male,2.0,,1980–1982,1980.0,1982.0,-25.274398,133.775136
Manfred Seel,Manfred,Seel,"Hessen-Ripper, Jack the Ripper von Schwalbach",Germany,male,5.0,,1971–2004,1971.0,2004.0,51.165691,10.451526
Manfred Wittmann,Manfred,Wittmann,,Germany,male,3.0,,1968–1969,1968.0,1969.0,51.165691,10.451526
Manuel Octavio Bermudez Estrada,Manuel,Octavio Bermudez Estrada,El monstruo de los cañaduzales,Colombia,male,17.0,21,1999–2003,1999.0,2003.0,4.570868,-74.297333
Maoupa Cedric Maake,Maoupa,Cedric Maake,Wemmer Pan Serial Killer,South Africa,male,27.0,,1996–1997,1996.0,1997.0,-30.559482,22.937506
Marc Dutroux,Marc,Dutroux,,Belgium,male,5.0,,1995–1996,1995.0,1996.0,50.503887,4.469936
Marc Hoffmann,Marc,Hoffmann,,Germany,male,2.0,8,1987–1990,1987.0,1990.0,51.165691,10.451526
Marcel Barbeault,Marcel,Barbeault,Le Tueur de l'Ombre (Der Schattenmörder),France,male,8.0,,1969–1976,1969.0,1976.0,46.227638,2.213749
Marcel Petiot,Marcel,Petiot,,France,male,27.0,60,1942–1944,1942.0,1944.0,46.227638,2.213749
Marcelo Costa De Andrade,Marcelo,Costa De Andrade,Vampir von Niterói,Brazil,male,14.0,,1991,1991.0,1991.0,-14.235004,-51.92528
Marco Bergamo,Marco,Bergamo,Monster von Bozen,Italy,male,5.0,,1985–1992,1985.0,1992.0,41.87194,12.56738
Marco M.,Marco,M.,Der Brummi-Mörder,Germany,male,3.0,,2003–2006,2003.0,2006.0,51.165691,10.451526
Maria Catherina Swanenburg,Maria,Catherina Swanenburg,Goeie Mie,Netherlands,female,27.0,90+,1880–1883,1880.0,1883.0,52.132633,5.291265999999999
Maria Velten,Maria,Velten,,Germany,female,3.0,5,1963–1980,1963.0,1980.0,51.165691,10.451526
Marianne Nölle,Marianne,Nölle,Todesengel von Köln,Germany,female,7.0,17,1984–1992,1984.0,1992.0,51.165691,10.451526
Marie Alexandrine Becker,Marie,Alexandrine Becker,,Belgium,female,11.0,,1934–1936,1934.0,1936.0,50.503887,4.469936
Marie Fikáčková,Marie,Fikáčková,,Czechoslovakia,female,10.0,,1957–1960,1957.0,1960.0,14.4803708,121.0390178
Marie Noe,Marie,Noe,,United States,female,8.0,,1949–1968,1949.0,1968.0,37.09024,-95.712891
Marie-Madeleine de Brinvilliers,Marie-Madeleine,de Brinvilliers,Marquise de Brinvilliers,France,female,3.0,,1666–1670,1666.0,1670.0,46.227638,2.213749
Mariusz Trynkiewicz,Mariusz,Trynkiewicz,,Poland,male,4.0,,1988,1988.0,1988.0,51.919438,19.145136
Marjorie Diehl-Armstrong,Marjorie,Diehl-Armstrong,,United States,female,2.0,2,1984–2003,1984.0,2003.0,37.09024,-95.712891
Mark Andrew Rowntree,Mark,Andrew Rowntree,,United Kingdom,male,4.0,5,1975–1976,1975.0,1976.0,55.378051,-3.435973
Mark Goudeau,Mark,Goudeau,Baseline Killer,United States,male,2.0,9,2005–2006,2005.0,2006.0,37.09024,-95.712891
Martha Cannon,Martha,Cannon,Patty / Lucrecia P. Cannon,United States,female,4.0,11+,1821–1829,1821.0,1829.0,37.09024,-95.712891
Martha Marek,Martha,Marek,,Austria,female,4.0,,1932–1934,1932.0,1934.0,47.516231,14.550072
Martha Rendell,Martha,Rendell,,Australia,female,3.0,,1907–1908,1907.0,1908.0,-25.274398,133.775136
Martha Wise,Martha,Wise,,United States,female,3.0,,1924–1925,1924.0,1925.0,37.09024,-95.712891
Martha Woods,Martha,Woods,,United States,female,7.0,,1946–1969,1946.0,1969.0,37.09024,-95.712891
Martin Ney,Martin,Ney,Maskenmann / Schwarzer Mann,Germany,male,3.0,5,1992–2004,1992.0,2004.0,51.165691,10.451526
Mary Ann Britland,Mary,Ann Britland,,United Kingdom,female,3.0,,1886,1886.0,1886.0,55.378051,-3.435973
Mary Ann Cotton,Mary,Ann Cotton,,United Kingdom,female,1.0,21,1857–1873,1857.0,1873.0,55.378051,-3.435973
Mary Elizabeth Wilson,Mary,Elizabeth Wilson,The Merry Widow of Windy Nook,United Kingdom,female,2.0,4,1955–1957,1955.0,1957.0,55.378051,-3.435973
Mary Jane Jackson,Mary,Jane Jackson,Bricktop,United States,female,4.0,,1856–1861,1856.0,1861.0,37.09024,-95.712891
Marybeth Tinning,Marybeth,Tinning,,United States,female,1.0,9,1972–1985,1972.0,1985.0,37.09024,-95.712891
